DayCount,TS,TimeStep,1,2,Living,Kitchen,Laundry,Bathroom,ElecFood,ElecVaccuum,ElecIron,ElecDishes,ElecLaundry,ElecPC,ElecTV,ElecMusic,ElecBath,ElecStandby,ElecFridge,ElecLights,Bath,Dishes,Food,Laundry
1,571,09:30,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,581,09:40,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,591,09:50,4,0,15.6,15.6,0,0,0,0,0,0,0,0,0,0,0,6,0,9.6,0,0,0,0
1,601,10:00,4,0,68.6,68.6,0,0,0,0,0,0,0,0,0,0,0,6,53,9.6,0,0,0,0
1,611,10:10,4,0,68.6,68.6,0,0,0,0,0,0,0,0,0,0,0,6,53,9.6,0,0,0,0
1,621,10:20,4,0,47.6,47.6,0,0,0,0,0,0,0,0,0,0,0,6,32,9.6,0,0,0,0
1,631,10:30,8,0,47.6,47.6,0,0,0,0,0,0,0,0,0,0,0,6,32,9.6,752.3333,0,0,0
1,641,10:40,4,0,15.6,15.6,0,0,0,0,0,0,0,0,0,0,0,6,0,9.6,0,0,0,0
1,651,10:50,4,0,143.6,143.6,0,0,0,0,0,0,0,75,0,0,0,6,53,9.6,0,0,0,0
1,661,11:00,4,0,143.6,143.6,0,0,0,0,0,0,0,75,0,0,0,6,53,9.6,0,0,0,0
1,671,11:10,4,0,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,681,11:20,4,0,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,691,11:30,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
1,701,11:40,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
1,711,11:50,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
1,721,12:00,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,731,12:10,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,741,12:20,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
1,751,12:30,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
1,761,12:40,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
1,771,12:50,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,781,13:00,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
1,791,13:10,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
1,801,13:20,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
1,811,13:30,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0,0
1,821,13:40,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,6,32,0,0,0,0,0
